path,duration,id,category,split
01 Hip Hop/Against Time Keys.mp3,6.948571,01_Hip_Hop_Against_Time_Keys,Keyboards,valid
01 Hip Hop/Against Time Piano.mp3,6.948571,01_Hip_Hop_Against_Time_Piano,Keyboards,train
01 Hip Hop/Altered State Arpeggio.mp3,7.262041,01_Hip_Hop_Altered_State_Arpeggio,Keyboards,train
01 Hip Hop/Altered State Beat 01.mp3,7.262041,01_Hip_Hop_Altered_State_Beat_01,Electronic Beats,valid
01 Hip Hop/Altered State Beat 02.mp3,7.262041,01_Hip_Hop_Altered_State_Beat_02,Electronic Beats,train
01 Hip Hop/Altered State Sub Bass.mp3,7.262041,01_Hip_Hop_Altered_State_Sub_Bass,Bass,train
01 Hip Hop/Amber Beat 01.mp3,7.497143,01_Hip_Hop_Amber_Beat_01,Electronic Beats,train
01 Hip Hop/Amber Beat 02.mp3,7.497143,01_Hip_Hop_Amber_Beat_02,Electronic Beats,train
01 Hip Hop/Amber Slow Beat 01.mp3,7.497143,01_Hip_Hop_Amber_Slow_Beat_01,Electronic Beats,valid
01 Hip Hop/Amber Slow Beat 02.mp3,7.497143,01_Hip_Hop_Amber_Slow_Beat_02,Electronic Beats,train
01 Hip Hop/Amber Water Phrase 01.mp3,7.497143,01_Hip_Hop_Amber_Water_Phrase_01,Keyboards,train
01 Hip Hop/Amber Water Phrase 02.mp3,7.497143,01_Hip_Hop_Amber_Water_Phrase_02,Keyboards,train
01 Hip Hop/Around Midnight Beat 01.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_01,Electronic Beats,train
01 Hip Hop/Around Midnight Beat 02.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_02,Electronic Beats,train
01 Hip Hop/Around Midnight Beat 03.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_03,Drums,train
01 Hip Hop/Around Midnight Percussion.mp3,7.497143,01_Hip_Hop_Around_Midnight_Percussion,Electronic Beats,train
01 Hip Hop/Around Midnight Vox Melody 02.mp3,7.497143,01_Hip_Hop_Around_Midnight_Vox_Melody_02,Vocals,train
01 Hip Hop/Ascend Water Mallets.mp3,6.086531,01_Hip_Hop_Ascend_Water_Mallets,Keyboards,train
01 Hip Hop/Bailey Background 03.mp3,7.653878,01_Hip_Hop_Bailey_Background_03,Vocals,train
01 Hip Hop/Barricade Arpeggio.mp3,3.160816,01_Hip_Hop_Barricade_Arpeggio,Keyboards,valid
01 Hip Hop/Barricade Droning Brass.mp3,6.269388,01_Hip_Hop_Barricade_Droning_Brass,Horn/Wind,train
01 Hip Hop/Barricade Gated Synth.mp3,6.269388,01_Hip_Hop_Barricade_Gated_Synth,Keyboards,train
01 Hip Hop/Be Together Bass.mp3,6.269388,01_Hip_Hop_Be_Together_Bass,Bass,train
01 Hip Hop/Be Together Piano.mp3,6.269388,01_Hip_Hop_Be_Together_Piano,Keyboards,train
01 Hip Hop/Be Together Strings.mp3,6.269388,01_Hip_Hop_Be_Together_Strings,Strings,train
01 Hip Hop/Before Sunrise Beat 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Beat_01,Electronic Beats,train
01 Hip Hop/Before Sunrise Beat 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Beat_02,Electronic Beats,train
