path,duration,id,genre,split
Jam Pack Remix Tools/DnB Minimal Bass.mp3,5.746939,Jam_Pack_Remix_Tools_DnB_Minimal_Bass,Electronic,train
Jam Pack Remix Tools/Electro Kicker Beat 02.mp3,3.526531,Jam_Pack_Remix_Tools_Electro_Kicker_Beat_02,Electronic,train
07 Chillwave/Filtered Bit Bass.mp3,4.884898,07_Chillwave_Filtered_Bit_Bass,Electronic,train
Jam Pack Remix Tools/Garage Friday Organ 03.mp3,3.73551,Jam_Pack_Remix_Tools_Garage_Friday_Organ_03,Electronic,train
Jam Pack Remix Tools/2-Step Flux Beat 01.mp3,7.209796,Jam_Pack_Remix_Tools_2-Step_Flux_Beat_01,Electronic,train
Jam Pack Remix Tools/DnB Guitar 03.mp3,5.746939,Jam_Pack_Remix_Tools_DnB_Guitar_03,Electronic,train
25 Step Sequencer/Driving Pulse Bass 02.mp3,8.097959,25_Step_Sequencer_Driving_Pulse_Bass_02,Electronic,train
07 Chillwave/Moving Pictures Synth.mp3,8.097959,07_Chillwave_Moving_Pictures_Synth,Electronic,train
Jam Pack Remix Tools/2-Step Thump Beat FX 07.mp3,3.84,Jam_Pack_Remix_Tools_2-Step_Thump_Beat_FX_07,Electronic,train
Jam Pack Remix Tools/2-Step Thump Beat FX 10.mp3,3.84,Jam_Pack_Remix_Tools_2-Step_Thump_Beat_FX_10,Electronic,train
Jam Pack Remix Tools/Remix Warm Glow Slicer 02.mp3,8.803265,Jam_Pack_Remix_Tools_Remix_Warm_Glow_Slicer_02,Electronic,valid
Jam Pack 1/Club Dance Beat 075.mp3,7.209796,Jam_Pack_1_Club_Dance_Beat_075,Electronic,train
Jam Pack Remix Tools/Awaiting Arrival Pad.mp3,6.086531,Jam_Pack_Remix_Tools_Awaiting_Arrival_Pad,Electronic,train
23 Oblique Structures/Midnight Blue Beat 03.mp3,7.497143,23_Oblique_Structures_Midnight_Blue_Beat_03,Electronic,valid
Jam Pack 1/Synth Array 39.mp3,7.209796,Jam_Pack_1_Synth_Array_39,Electronic,train
Apple Loops for GarageBand/Club Dance Beat 020.mp3,7.497143,Apple_Loops_for_GarageBand_Club_Dance_Beat_020,Electronic,train
25 Step Sequencer/Nylon Dreams Pattern.mp3,8.097959,25_Step_Sequencer_Nylon_Dreams_Pattern,Electronic,train
Apple Loops for GarageBand/Club Dance Beat 023.mp3,7.758367,Apple_Loops_for_GarageBand_Club_Dance_Beat_023,Electronic,valid
Jam Pack Remix Tools/Electro Transit Beat.mp3,4.440816,Jam_Pack_Remix_Tools_Electro_Transit_Beat,Electronic,train
Jam Pack Remix Tools/Techno Big Shot Beat 01.mp3,9.691429,Jam_Pack_Remix_Tools_Techno_Big_Shot_Beat_01,Electronic,train
07 Chillwave/Pastel Colors Beat 02.mp3,4.884898,07_Chillwave_Pastel_Colors_Beat_02,Electronic,train
Jam Pack 1/Club Dance Beat 181.mp3,9.221224,Jam_Pack_1_Club_Dance_Beat_181,Electronic,train
Jam Pack Remix Tools/Remix Chord Slicer FX 01.mp3,8.097959,Jam_Pack_Remix_Tools_Remix_Chord_Slicer_FX_01,Electronic,train
Apple Loops for GarageBand/Remix Vocal Warp FX 03.mp3,8.385306,Apple_Loops_for_GarageBand_Remix_Vocal_Warp_FX_03,Electronic,test
Jam Pack Remix Tools/DnB Fog Bass 02.mp3,6.948571,Jam_Pack_Remix_Tools_DnB_Fog_Bass_02,Electronic,train
Jam Pack Remix Tools/Broken Beat Flip Bass 09.mp3,3.996735,Jam_Pack_Remix_Tools_Broken_Beat_Flip_Bass_09,Electronic,train
Jam Pack Remix Tools/Euro Move Synth 02.mp3,7.053061,Jam_Pack_Remix_Tools_Euro_Move_Synth_02,Electronic,train
23 Oblique Structures/Nocturnal Spheres Topper 01.mp3,7.601633,23_Oblique_Structures_Nocturnal_Spheres_Topper_01,Electronic,valid
Jam Pack Remix Tools/Force Strings.mp3,6.086531,Jam_Pack_Remix_Tools_Force_Strings,Electronic,train
Jam Pack Remix Tools/Breaks Snare Master Beat.mp3,4.884898,Jam_Pack_Remix_Tools_Breaks_Snare_Master_Beat,Electronic,test
07 Chillwave/Drifting Tide Layers 01.mp3,4.884898,07_Chillwave_Drifting_Tide_Layers_01,Electronic,train
Jam Pack Remix Tools/Downtempo Funk Beat 12.mp3,4.884898,Jam_Pack_Remix_Tools_Downtempo_Funk_Beat_12,Electronic,train
21 Prismatica/Neon Dreams Synth Bass 02.mp3,8.672653,21_Prismatica_Neon_Dreams_Synth_Bass_02,Electronic,test
Jam Pack Remix Tools/Remix Sweeping Synth 05.mp3,7.314286,Jam_Pack_Remix_Tools_Remix_Sweeping_Synth_05,Electronic,train
21 Prismatica/Les Inferno Synth Bass.mp3,8.228571,21_Prismatica_Les_Inferno_Synth_Bass,Electronic,train
Apple Loops for GarageBand/Chordal Synth Pattern 23.mp3,2.011429,Apple_Loops_for_GarageBand_Chordal_Synth_Pattern_23,Electronic,train
Jam Pack Remix Tools/House Tension Organ.mp3,7.601633,Jam_Pack_Remix_Tools_House_Tension_Organ,Electronic,valid
21 Prismatica/Cosmic Cruise Snare.mp3,2.35102,21_Prismatica_Cosmic_Cruise_Snare,Electronic,test
Jam Pack Remix Tools/DnB Stiff Bass.mp3,5.746939,Jam_Pack_Remix_Tools_DnB_Stiff_Bass,Electronic,train
25 Step Sequencer/Skyward Lift Bass 02.mp3,8.097959,25_Step_Sequencer_Skyward_Lift_Bass_02,Electronic,test
25 Step Sequencer/Alternate Strum Pattern.mp3,6.269388,25_Step_Sequencer_Alternate_Strum_Pattern,Electronic,train
21 Prismatica/Solaris Tambourine Woodblock 02.mp3,7.967347,21_Prismatica_Solaris_Tambourine_Woodblock_02,Electronic,train
07 Chillwave/End Credits Synth.mp3,9.691429,07_Chillwave_End_Credits_Synth,Electronic,valid
07 Chillwave/Looping Vox.mp3,5.146122,07_Chillwave_Looping_Vox,Electronic,train
