path,duration,id,genre,split
01 Hip Hop/Abandoned Brass Stabs.mp3,7.262041,01_Hip_Hop_Abandoned_Brass_Stabs,Hip Hop/RnB,train
01 Hip Hop/Against Time Keys.mp3,6.948571,01_Hip_Hop_Against_Time_Keys,Hip Hop/RnB,test
01 Hip Hop/Against Time Piano.mp3,6.948571,01_Hip_Hop_Against_Time_Piano,Hip Hop/RnB,train
01 Hip Hop/Against Time Sax Sample.mp3,6.948571,01_Hip_Hop_Against_Time_Sax_Sample,Hip Hop/RnB,train
01 Hip Hop/Against Time Staccato Strings.mp3,6.948571,01_Hip_Hop_Against_Time_Staccato_Strings,Hip Hop/RnB,valid
01 Hip Hop/Altered State Arpeggio.mp3,7.262041,01_Hip_Hop_Altered_State_Arpeggio,Hip Hop/RnB,train
01 Hip Hop/Altered State Beat 01.mp3,7.262041,01_Hip_Hop_Altered_State_Beat_01,Hip Hop/RnB,train
01 Hip Hop/Altered State Beat 02.mp3,7.262041,01_Hip_Hop_Altered_State_Beat_02,Hip Hop/RnB,train
01 Hip Hop/Altered State Sub Bass.mp3,7.262041,01_Hip_Hop_Altered_State_Sub_Bass,Hip Hop/RnB,train
01 Hip Hop/Amber Beat 01.mp3,7.497143,01_Hip_Hop_Amber_Beat_01,Hip Hop/RnB,train
01 Hip Hop/Amber Beat 02.mp3,7.497143,01_Hip_Hop_Amber_Beat_02,Hip Hop/RnB,train
01 Hip Hop/Amber Slow Beat 01.mp3,7.497143,01_Hip_Hop_Amber_Slow_Beat_01,Hip Hop/RnB,train
01 Hip Hop/Amber Slow Beat 02.mp3,7.497143,01_Hip_Hop_Amber_Slow_Beat_02,Hip Hop/RnB,train
01 Hip Hop/Amber Water Phrase 01.mp3,7.497143,01_Hip_Hop_Amber_Water_Phrase_01,Hip Hop/RnB,test
01 Hip Hop/Amber Water Phrase 02.mp3,7.497143,01_Hip_Hop_Amber_Water_Phrase_02,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Beat 01.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_01,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Beat 02.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_02,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Beat 03.mp3,7.497143,01_Hip_Hop_Around_Midnight_Beat_03,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Ducking Cymbal.mp3,7.497143,01_Hip_Hop_Around_Midnight_Ducking_Cymbal,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Hi-Hat 01.mp3,7.497143,01_Hip_Hop_Around_Midnight_Hi-Hat_01,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Hi-Hat 02.mp3,7.497143,01_Hip_Hop_Around_Midnight_Hi-Hat_02,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Hi-Hat 03.mp3,7.497143,01_Hip_Hop_Around_Midnight_Hi-Hat_03,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Percussion.mp3,7.497143,01_Hip_Hop_Around_Midnight_Percussion,Hip Hop/RnB,train
01 Hip Hop/Around Midnight Vox Melody 02.mp3,7.497143,01_Hip_Hop_Around_Midnight_Vox_Melody_02,Hip Hop/RnB,train
01 Hip Hop/Ascend Water Mallets.mp3,6.086531,01_Hip_Hop_Ascend_Water_Mallets,Hip Hop/RnB,train
01 Hip Hop/Bailey Background 03.mp3,7.653878,01_Hip_Hop_Bailey_Background_03,Hip Hop/RnB,test
01 Hip Hop/Barricade Arpeggio.mp3,3.160816,01_Hip_Hop_Barricade_Arpeggio,Hip Hop/RnB,train
01 Hip Hop/Barricade Droning Brass.mp3,6.269388,01_Hip_Hop_Barricade_Droning_Brass,Hip Hop/RnB,train
01 Hip Hop/Barricade Gated Synth.mp3,6.269388,01_Hip_Hop_Barricade_Gated_Synth,Hip Hop/RnB,train
01 Hip Hop/Battle Cry Horn Line.mp3,4.597551,01_Hip_Hop_Battle_Cry_Horn_Line,Hip Hop/RnB,train
01 Hip Hop/Be Together Bass.mp3,6.269388,01_Hip_Hop_Be_Together_Bass,Hip Hop/RnB,train
01 Hip Hop/Be Together Horns.mp3,6.269388,01_Hip_Hop_Be_Together_Horns,Hip Hop/RnB,train
01 Hip Hop/Be Together Piano.mp3,6.269388,01_Hip_Hop_Be_Together_Piano,Hip Hop/RnB,valid
01 Hip Hop/Be Together Strings.mp3,6.269388,01_Hip_Hop_Be_Together_Strings,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Beat 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Beat_01,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Beat 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Beat_02,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Chopped Piano 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Chopped_Piano_01,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Chopped Piano 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Chopped_Piano_02,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Dark Bass 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Dark_Bass_01,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Dark Bass 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Dark_Bass_02,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Lush Chords 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Lush_Chords_01,Hip Hop/RnB,train
01 Hip Hop/Before Sunrise Lush Chords 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Lush_Chords_02,Hip Hop/RnB,train
01 Hip Hop/Bell Ringer Arpeggio.mp3,7.157551,01_Hip_Hop_Bell_Ringer_Arpeggio,Hip Hop/RnB,train
01 Hip Hop/Bell Ringer Vox Synth.mp3,7.157551,01_Hip_Hop_Bell_Ringer_Vox_Synth,Hip Hop/RnB,test
01 Hip Hop/Black Tie Synth Lead.mp3,5.433469,01_Hip_Hop_Black_Tie_Synth_Lead,Hip Hop/RnB,valid
01 Hip Hop/Boss Level Arpeggio.mp3,6.948571,01_Hip_Hop_Boss_Level_Arpeggio,Hip Hop/RnB,train
01 Hip Hop/Boss Level Chimes.mp3,6.948571,01_Hip_Hop_Boss_Level_Chimes,Hip Hop/RnB,test
01 Hip Hop/Brass Brigade Beat.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Beat,Hip Hop/RnB,train
01 Hip Hop/Brass Brigade Brass Stabs.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Brass_Stabs,Hip Hop/RnB,test
01 Hip Hop/Brass Brigade Sampled Brass.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Sampled_Brass,Hip Hop/RnB,train
01 Hip Hop/Brass Brigade Sub Bass.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Sub_Bass,Hip Hop/RnB,train
01 Hip Hop/Brass Brigade Synth Arp.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Synth_Arp,Hip Hop/RnB,train
01 Hip Hop/Brass Brigade Topper.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Topper,Hip Hop/RnB,train
01 Hip Hop/Break Free Beat.mp3,6.948571,01_Hip_Hop_Break_Free_Beat,Hip Hop/RnB,train
01 Hip Hop/Break Free Choir Pad.mp3,6.948571,01_Hip_Hop_Break_Free_Choir_Pad,Hip Hop/RnB,train
01 Hip Hop/Break Free Keys.mp3,6.948571,01_Hip_Hop_Break_Free_Keys,Hip Hop/RnB,train
01 Hip Hop/Break Free Melodic Lead.mp3,6.948571,01_Hip_Hop_Break_Free_Melodic_Lead,Hip Hop/RnB,train
01 Hip Hop/Break Free Synth Arp.mp3,6.948571,01_Hip_Hop_Break_Free_Synth_Arp,Hip Hop/RnB,train
01 Hip Hop/Break Free Synth Bass.mp3,6.948571,01_Hip_Hop_Break_Free_Synth_Bass,Hip Hop/RnB,test
01 Hip Hop/Break Free Topper.mp3,6.948571,01_Hip_Hop_Break_Free_Topper,Hip Hop/RnB,train
01 Hip Hop/Broken Organ Lead.mp3,7.053061,01_Hip_Hop_Broken_Organ_Lead,Hip Hop/RnB,train
01 Hip Hop/Cali Swag Bass.mp3,5.485714,01_Hip_Hop_Cali_Swag_Bass,Hip Hop/RnB,train
01 Hip Hop/Cali Swag Beat.mp3,5.485714,01_Hip_Hop_Cali_Swag_Beat,Hip Hop/RnB,train
01 Hip Hop/Cali Swag Choir.mp3,5.485714,01_Hip_Hop_Cali_Swag_Choir,Hip Hop/RnB,train
01 Hip Hop/Cali Swag Droning Pad.mp3,5.485714,01_Hip_Hop_Cali_Swag_Droning_Pad,Hip Hop/RnB,train
01 Hip Hop/Cali Vibes Arpeggio.mp3,3.369796,01_Hip_Hop_Cali_Vibes_Arpeggio,Hip Hop/RnB,train
01 Hip Hop/Cali Vibes Bass.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Bass,Hip Hop/RnB,valid
01 Hip Hop/Cali Vibes Glide Synth.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Glide_Synth,Hip Hop/RnB,train
01 Hip Hop/Cali Vibes Lead Guitar.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Lead_Guitar,Hip Hop/RnB,test
01 Hip Hop/Cali Vibes Piano.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Piano,Hip Hop/RnB,valid
01 Hip Hop/Cali Vibes Synth Lead.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Synth_Lead,Hip Hop/RnB,train
01 Hip Hop/Cali Vibes Wah Guitar.mp3,3.369796,01_Hip_Hop_Cali_Vibes_Wah_Guitar,Hip Hop/RnB,train
01 Hip Hop/Call It High Keys.mp3,6.086531,01_Hip_Hop_Call_It_High_Keys,Hip Hop/RnB,test
01 Hip Hop/Carla Lyric 02.mp3,7.732245,01_Hip_Hop_Carla_Lyric_02,Hip Hop/RnB,test
01 Hip Hop/Chart Topper Synth Glide.mp3,7.732245,01_Hip_Hop_Chart_Topper_Synth_Glide,Hip Hop/RnB,train
01 Hip Hop/Chasing Shadows Guitar Lead 01.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Guitar_Lead_01,Hip Hop/RnB,train
01 Hip Hop/Chasing Shadows Guitar Lead 02.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Guitar_Lead_02,Hip Hop/RnB,train
01 Hip Hop/Chasing Shadows Guitar Vamp.mp3,4.649796,01_Hip_Hop_Chasing_Shadows_Guitar_Vamp,Hip Hop/RnB,test
01 Hip Hop/Chasing Shadows Hi-Hat.mp3,4.649796,01_Hip_Hop_Chasing_Shadows_Hi-Hat,Hip Hop/RnB,test
01 Hip Hop/Chasing Shadows Kick 01.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Kick_01,Hip Hop/RnB,valid
01 Hip Hop/Chasing Shadows Kick 02.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Kick_02,Hip Hop/RnB,train
01 Hip Hop/Chasing Shadows Pad 03.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Pad_03,Hip Hop/RnB,train
